game_datetime,home_team,away_team,home_team_score,away_team_score,home_team_win_pct,away_team_win_pct,home_team_points_per_game,away_team_points_per_game,home_team_points_allowed_per_game,away_team_points_allowed_per_game,stadium_latitude,stadium_longitude
2019-12-08,OAK,TEN,21.0,42.0,0.6666666666666666,0.6,29.0,28.4,22.083333333333332,23.9,0,0
2019-12-08,LA,SEA,28.0,12.0,1.0,0.8888888888888888,29.4,28.77777777777778,12.8,14.333333333333334,0,0
2019-12-09,PHI,NYG,23.0,17.0,0.7142857142857143,1.0,19.142857142857142,22.5,17.428571428571427,15.0,0,0
2019-12-12,BAL,NYJ,42.0,21.0,0.8333333333333334,1.0,29.083333333333332,17.0,15.25,16.0,0,0
2019-12-15,CAR,SEA,24.0,30.0,1.0,0.8888888888888888,29.571428571428573,28.77777777777778,11.0,14.333333333333334,0,0
2019-12-15,CIN,NE,13.0,34.0,1.0,0.6923076923076923,36.0,28.53846153846154,17.0,21.615384615384617,0,0
2019-12-15,DET,TB,17.0,38.0,1.0,1.0,33.75,31.0,23.5,17.0,0,0
2019-12-15,GB,CHI,21.0,13.0,0.9090909090909091,0.6,30.181818181818183,24.3,14.818181818181818,19.8,0,0
2019-12-15,KC,DEN,23.0,3.0,0.6923076923076923,0.7142857142857143,28.53846153846154,28.857142857142858,21.615384615384617,21.428571428571427,0,0
2019-12-15,NYG,MIA,36.0,20.0,1.0,0.5555555555555556,22.5,21.555555555555557,15.0,21.444444444444443,0,0
2019-12-15,TEN,HOU,21.0,24.0,0.6,0.6666666666666666,28.4,28.666666666666668,23.9,24.0,0,0
2019-12-15,WAS,PHI,27.0,37.0,1.0,0.7142857142857143,26.0,19.142857142857142,10.666666666666666,17.428571428571427,0,0
2019-12-15,ARI,CLE,38.0,24.0,0.9,1.0,29.5,31.75,15.5,14.25,0,0
2019-12-15,LAC,MIN,10.0,39.0,0.6363636363636364,0.6666666666666666,28.0,28.0,23.272727272727273,22.666666666666668,0,0
2019-12-15,OAK,JAX,16.0,20.0,0.6666666666666666,1.0,29.0,40.0,22.083333333333332,26.0,0,0
2019-12-15,DAL,LA,44.0,21.0,0.75,1.0,21.416666666666668,29.4,15.666666666666666,12.8,0,0
2019-12-15,SF,ATL,22.0,29.0,0.8461538461538461,0.6666666666666666,30.53846153846154,23.333333333333332,17.615384615384617,23.666666666666668,0,0
2019-12-15,PIT,BUF,10.0,17.0,1.0,0.6923076923076923,32.0,21.076923076923077,18.0,16.307692307692307,0,0
2019-12-16,NO,IND,34.0,7.0,0.8461538461538461,0.8,30.53846153846154,29.6,17.615384615384617,22.6,0,0
2019-12-21,TB,HOU,20.0,23.0,1.0,0.6666666666666666,31.0,28.666666666666668,17.0,24.0,0,0
2019-12-21,NE,BUF,24.0,17.0,0.6923076923076923,0.7142857142857143,28.53846153846154,20.785714285714285,21.615384615384617,15.857142857142858,0,0
2019-12-21,SF,LA,34.0,31.0,0.7857142857142857,1.0,29.928571428571427,29.4,18.428571428571427,12.8,0,0
2019-12-22,ATL,JAX,24.0,12.0,0.7857142857142857,1.0,29.928571428571427,40.0,18.428571428571427,26.0,0,0
2019-12-22,CLE,BAL,15.0,31.0,1.0,0.8333333333333334,31.75,29.083333333333332,14.25,15.25,0,0
2019-12-22,IND,CAR,38.0,6.0,0.8,1.0,29.6,29.571428571428573,22.6,11.0,0,0
2019-12-22,MIA,CIN,38.0,35.0,0.5555555555555556,1.0,21.555555555555557,36.0,21.444444444444443,17.0,0,0
2019-12-22,NYJ,PIT,16.0,10.0,1.0,1.0,17.0,32.0,16.0,18.0,0,0
2019-12-22,TEN,NO,28.0,38.0,0.6,0.8461538461538461,28.4,30.53846153846154,23.9,17.615384615384617,0,0
2019-12-22,WAS,NYG,35.0,41.0,1.0,1.0,26.0,22.5,10.666666666666666,15.0,0,0
2019-12-22,DEN,DET,27.0,17.0,0.7142857142857143,1.0,28.142857142857142,33.75,20.285714285714285,23.5,0,0
2019-12-22,LAC,OAK,17.0,24.0,0.6363636363636364,0.6666666666666666,28.0,29.0,23.272727272727273,22.083333333333332,0,0
