date,home_team,away_team,home_score,away_score,stadium,total_yards,rush_attempts,pass_attempts,completions,first_downs,third_down_attempts,third_down_conv,fourth_down_attempts,fourth_down_conv,turnovers,penalty_yards
2019-11-10,CIN,BAL,13.0,49.0,Paul Brown Stadium,686.0,63.0,55.0,34.0,41.0,21.0,11.0,5.0,2.0,5.0,40.0
2019-11-10,CLE,BUF,19.0,16.0,FirstEnergy Stadium,712.0,46.0,82.0,48.0,44.0,24.0,9.0,4.0,1.0,2.0,110.0
2019-11-10,NO,ATL,9.0,26.0,Mercedes-Benz Superdome,627.0,45.0,88.0,53.0,42.0,27.0,9.0,4.0,1.0,1.0,138.0
2019-11-10,NYJ,NYG,34.0,27.0,MetLife Stadium,577.0,46.0,80.0,45.0,33.0,31.0,12.0,3.0,2.0,4.0,116.0
2019-11-10,TB,ARI,30.0,27.0,Raymond James Stadium,874.0,44.0,99.0,58.0,46.0,25.0,8.0,3.0,2.0,6.0,181.0
2019-11-10,TEN,KC,35.0,32.0,Nissan Stadium,903.0,52.0,76.0,49.0,47.0,22.0,9.0,3.0,1.0,3.0,144.0
2019-11-10,IND,MIA,12.0,16.0,Lucas Oil Stadium,529.0,55.0,76.0,39.0,32.0,29.0,11.0,4.0,1.0,6.0,55.0
2019-11-10,GB,CAR,24.0,16.0,Lambeau Field,789.0,50.0,78.0,45.0,49.0,19.0,8.0,1.0,1.0,3.0,110.0
2019-11-10,PIT,LA,17.0,12.0,Heinz Field,579.0,50.0,87.0,44.0,31.0,30.0,6.0,3.0,1.0,11.0,202.0
2019-11-10,DAL,MIN,24.0,28.0,AT&T Stadium,809.0,58.0,82.0,51.0,49.0,29.0,17.0,3.0,1.0,1.0,74.0
2019-11-11,SF,SEA,24.0,27.0,Levi's Stadium,640.0,61.0,91.0,48.0,40.0,30.0,13.0,1.0,0.0,8.0,115.0
2019-11-14,CLE,PIT,21.0,7.0,FirstEnergy Stadium,529.0,51.0,81.0,40.0,35.0,27.0,8.0,3.0,0.0,5.0,162.0
2019-11-17,BAL,HOU,41.0,7.0,M&T Bank Stadium,723.0,57.0,64.0,38.0,41.0,19.0,7.0,5.0,1.0,3.0,125.0
2019-11-17,CAR,ATL,3.0,29.0,Bank of America Stadium,696.0,41.0,91.0,53.0,36.0,28.0,8.0,6.0,4.0,7.0,88.0
2019-11-17,DET,DAL,27.0,35.0,Ford Field,823.0,53.0,77.0,44.0,44.0,27.0,14.0,0.0,0.0,1.0,134.0
2019-11-17,IND,JAX,33.0,13.0,Lucas Oil Stadium,697.0,45.0,77.0,48.0,38.0,25.0,10.0,3.0,1.0,4.0,101.0
2019-11-17,MIA,BUF,20.0,37.0,Hard Rock Stadium,727.0,47.0,86.0,53.0,41.0,28.0,9.0,5.0,2.0,3.0,94.0
2019-11-17,MIN,DEN,27.0,23.0,U.S. Bank Stadium,715.0,51.0,83.0,47.0,39.0,30.0,10.0,6.0,6.0,5.0,84.0
2019-11-17,TB,NO,17.0,34.0,Raymond James Stadium,662.0,36.0,89.0,58.0,42.0,26.0,12.0,2.0,1.0,6.0,131.0
2019-11-17,WAS,NYJ,17.0,34.0,FedExField,627.0,53.0,76.0,38.0,36.0,28.0,11.0,2.0,1.0,7.0,111.0
2019-11-17,SF,ARI,36.0,26.0,Levi's Stadium,708.0,44.0,85.0,58.0,46.0,23.0,9.0,3.0,1.0,4.0,231.0
2019-11-17,OAK,CIN,17.0,10.0,Ring Central Coliseum,,,,,,,,,,,
